Student_ID,Age,Gender,Attendance_Percentage,Previous_Grade,Current_Grade,Assignments_Submitted,Behavior_Score,Parent_Education,Family_Income,Internet_Access,Study_Hours,Academic_Risk
1000,21,Male,85.1,39.9,65.5,9,3,Graduate,Low,Yes,1.6,0
1001,18,Male,79.8,77.2,77.2,9,3,Postgraduate,Medium,Yes,0.8,1
1002,19,Female,100.0,88.1,46.4,7,2,Graduate,Medium,Yes,4.5,1
1003,21,Female,82.2,58.6,62.2,6,1,High School,Medium,Yes,5.5,0
1004,17,Male,68.5,75.2,71.4,6,1,None,Medium,Yes,4.0,1
1005,19,Female,86.2,66.9,74.6,9,2,High School,Low,No,2.3,1
1006,19,Male,83.4,59.3,94.7,8,3,Graduate,Low,Yes,2.4,0
1007,21,Female,74.3,77.6,72.8,7,3,Graduate,Low,Yes,4.0,0
1008,16,Male,71.8,53.0,56.2,2,1,Graduate,Medium,No,2.8,0
1009,17,Female,74.4,65.5,53.3,5,3,Postgraduate,Low,Yes,2.8,0
1010,21,Male,71.6,68.9,53.1,5,1,Postgraduate,Medium,Yes,2.2,0
1011,17,Male,74.8,68.3,52.2,4,3,Graduate,Medium,Yes,2.0,0
1012,17,Female,67.9,53.4,66.7,2,4,Graduate,High,Yes,2.8,1
1013,19,Female,82.6,95.9,70.1,8,2,Postgraduate,High,No,0.6,1
1014,18,Male,81.7,83.9,77.0,6,5,Postgraduate,High,Yes,3.9,0
1015,17,Female,82.1,79.9,74.3,3,4,None,Medium,No,0.2,1
1016,20,Male,77.3,86.5,84.2,5,3,Graduate,Medium,Yes,4.6,0
1017,19,Female,75.9,66.0,51.6,4,5,Postgraduate,Medium,Yes,2.2,0
1018,16,Female,95.3,59.4,90.8,0,4,Postgraduate,High,Yes,2.8,0
1019,18,Male,78.8,48.7,52.3,1,2,High School,High,No,3.8,0
1020,20,Female,93.2,54.4,68.9,0,5,Graduate,Medium,Yes,2.6,0
1021,20,Female,66.0,49.8,59.7,8,5,Graduate,Medium,Yes,1.9,1
1022,16,Male,85.1,57.1,62.6,8,2,Postgraduate,Medium,Yes,3.4,0
1023,18,Female,69.2,69.1,74.4,4,4,High School,Medium,Yes,6.3,1
